clock_tick,station_id,route_id,platform_state
1,1,1,Empty
1,1,2,Empty
1,1,3,Empty
1,2,1,Empty
1,2,2,Empty
1,2,3,Empty
1,3,1,Empty
1,3,2,Empty
1,4,3,Empty
2,1,1,Empty
2,1,2,Empty
2,1,3,Empty
2,2,1,Empty
2,2,2,Empty
2,2,3,Empty
2,3,1,Empty
2,3,2,Empty
2,4,3,Empty
3,1,1,Empty
3,1,2,Empty
3,1,3,Empty
3,2,1,Empty
3,2,2,Empty
3,2,3,Empty
3,3,1,Empty
3,3,2,Empty
3,4,3,Empty
4,1,1,Empty
4,1,2,Empty
4,1,3,Empty
4,2,1,Empty
4,2,2,Empty
4,2,3,Empty
4,3,1,Empty
4,3,2,Empty
4,4,3,Empty
5,1,1,Empty
5,1,2,Empty
5,1,3,Empty
5,2,1,Empty
5,2,2,Empty
5,2,3,Empty
5,3,1,Empty
5,3,2,Empty
5,4,3,Empty
6,1,1,Empty
6,1,2,Empty
6,1,3,Empty
6,2,1,Empty
6,2,2,Empty
6,2,3,Empty
6,3,1,Empty
6,3,2,Empty
6,4,3,Empty
7,1,1,Empty
7,1,2,Empty
7,1,3,Empty
7,2,1,Empty
7,2,2,Empty
7,2,3,Empty
7,3,1,Empty
7,3,2,Empty
7,4,3,Empty
8,1,1,Empty
8,1,2,Empty
8,1,3,Empty
8,2,1,Empty
8,2,2,Empty
8,2,3,Empty
8,3,1,Empty
8,3,2,Empty
8,4,3,Empty
9,1,1,Empty
9,1,2,Empty
9,1,3,Empty
9,2,1,Empty
9,2,2,Empty
9,2,3,Empty
9,3,1,Empty
9,3,2,Empty
9,4,3,Empty
10,1,1,Empty
10,1,2,Empty
10,1,3,Empty
10,2,1,Empty
10,2,2,Empty
10,2,3,Empty
10,3,1,Empty
10,3,2,Empty
10,4,3,Empty
11,1,1,Empty
11,1,2,Empty
11,1,3,Empty
11,2,1,Empty
11,2,2,Empty
11,2,3,Empty
11,3,1,Empty
11,3,2,Empty
11,4,3,Empty
12,1,1,Empty
12,1,2,Empty
12,1,3,Empty
12,2,1,Empty
12,2,2,Empty
12,2,3,Empty
12,3,1,Empty
12,3,2,Empty
12,4,3,Empty
13,1,1,Empty
13,1,2,Empty
13,1,3,Empty
13,2,1,Empty
13,2,2,Empty
13,2,3,Empty
13,3,1,Empty
13,3,2,Empty
13,4,3,Empty
14,1,1,Empty
14,1,2,Empty
14,1,3,Empty
14,2,1,Empty
14,2,2,Empty
14,2,3,Empty
14,3,1,Empty
14,3,2,Empty
14,4,3,Empty
15,1,1,MovingPassengers
15,1,2,Empty
15,1,3,Empty
15,2,1,Empty
15,2,2,Empty
15,2,3,Empty
15,3,1,Empty
15,3,2,Empty
15,4,3,Empty
16,1,1,Departure
16,1,2,Empty
16,1,3,Empty
16,2,1,Empty
16,2,2,Empty
16,2,3,Empty
16,3,1,Empty
16,3,2,Empty
16,4,3,Empty
17,1,1,Empty
17,1,2,Empty
17,1,3,Empty
17,2,1,Empty
17,2,2,Empty
17,2,3,Empty
17,3,1,Empty
17,3,2,Empty
17,4,3,Empty
18,1,1,MovingPassengers
18,1,2,MovingPassengers
18,1,3,Empty
18,2,1,Empty
18,2,2,Empty
18,2,3,Empty
18,3,1,Empty
18,3,2,Empty
18,4,3,Empty
19,1,1,Departure
19,1,2,Departure
19,1,3,Empty
19,2,1,Empty
19,2,2,Empty
19,2,3,Empty
19,3,1,Empty
19,3,2,Empty
19,4,3,Empty
20,1,1,Empty
20,1,2,Empty
20,1,3,Empty
20,2,1,Empty
20,2,2,Empty
20,2,3,Empty
20,3,1,Empty
20,3,2,Empty
20,4,3,Empty
21,1,1,Empty
21,1,2,MovingPassengers
21,1,3,Empty
21,2,1,Empty
21,2,2,Empty
21,2,3,Empty
21,3,1,Empty
21,3,2,Empty
21,4,3,Empty
22,1,1,Empty
22,1,2,Departure
22,1,3,Empty
22,2,1,Empty
22,2,2,Empty
22,2,3,Empty
22,3,1,Empty
22,3,2,Empty
22,4,3,Empty
23,1,1,Empty
23,1,2,Empty
23,1,3,Empty
23,2,1,Empty
23,2,2,Empty
23,2,3,Empty
23,3,1,Empty
23,3,2,Empty
23,4,3,Empty
24,1,1,Empty
24,1,2,Empty
24,1,3,Empty
24,2,1,Empty
24,2,2,Empty
24,2,3,Empty
24,3,1,Empty
24,3,2,Empty
24,4,3,Empty
25,1,1,Empty
25,1,2,Empty
25,1,3,MovingPassengers
25,2,1,Empty
25,2,2,Empty
25,2,3,Empty
25,3,1,Empty
25,3,2,Empty
25,4,3,Empty
26,1,1,Empty
26,1,2,Empty
26,1,3,Departure
26,2,1,Empty
26,2,2,Empty
26,2,3,Empty
26,3,1,Empty
26,3,2,Empty
26,4,3,Empty
27,1,1,Empty
27,1,2,Empty
27,1,3,Empty
27,2,1,Empty
27,2,2,Empty
27,2,3,Empty
27,3,1,Empty
27,3,2,Empty
27,4,3,Empty
28,1,1,Empty
28,1,2,Empty
28,1,3,Empty
28,2,1,Empty
28,2,2,Empty
28,2,3,Empty
28,3,1,Empty
28,3,2,Empty
28,4,3,Empty
29,1,1,Empty
29,1,2,Empty
29,1,3,Empty
29,2,1,Empty
29,2,2,Empty
29,2,3,Empty
29,3,1,Empty
29,3,2,Empty
29,4,3,Empty
39,1,1,Empty
39,1,2,Empty
39,1,3,Empty
39,2,1,MovingPassengers
39,2,2,MovingPassengers
39,2,3,MovingPassengers
39,3,1,Empty
39,3,2,Empty
39,4,3,Empty
40,1,1,Empty
40,1,2,Empty
40,1,3,Empty
40,2,1,Departure
40,2,2,Departure
40,2,3,Departure
