segment_id,clock_tick,trains_present
12,1,"[{'id': 204, 'position_km': 0.4}, {'id': 302, 'position_km': 3.03}, {'id': 303, 'position_km': 4.35}]"
21,1,"[{'id': 103, 'position_km': 4.46}, {'id': 104, 'position_km': 5.37}, {'id': 202, 'position_km': 4.67}, {'id': 203, 'position_km': 5.22}, {'id': 301, 'position_km': 2.59}]"
23,1,[]
24,1,[]
32,1,"[{'id': 101, 'position_km': 0.7}, {'id': 102, 'position_km': 2.56}, {'id': 201, 'position_km': 2.46}]"
42,1,[]
12,2,"[{'id': 204, 'position_km': 0.6}, {'id': 302, 'position_km': 3.23}, {'id': 303, 'position_km': 4.55}]"
32,2,"[{'id': 101, 'position_km': 0.799}, {'id': 102, 'position_km': 2.66}, {'id': 201, 'position_km': 2.56}]"
42,2,[]
21,2,"[{'id': 103, 'position_km': 4.66}, {'id': 104, 'position_km': 5.57}, {'id': 202, 'position_km': 4.87}, {'id': 203, 'position_km': 5.42}, {'id': 301, 'position_km': 2.79}]"
23,2,[]
24,2,[]
12,3,"[{'id': 204, 'position_km': 0.8}, {'id': 302, 'position_km': 3.43}, {'id': 303, 'position_km': 4.75}]"
32,3,"[{'id': 101, 'position_km': 0.899}, {'id': 102, 'position_km': 2.76}, {'id': 201, 'position_km': 2.66}]"
42,3,[]
21,3,"[{'id': 103, 'position_km': 4.86}, {'id': 104, 'position_km': 5.77}, {'id': 202, 'position_km': 5.07}, {'id': 203, 'position_km': 5.62}, {'id': 301, 'position_km': 2.99}]"
23,3,[]
24,3,[]
12,4,"[{'id': 204, 'position_km': 1.0}, {'id': 302, 'position_km': 3.63}, {'id': 303, 'position_km': 4.95}]"
32,4,"[{'id': 101, 'position_km': 0.999}, {'id': 102, 'position_km': 2.86}, {'id': 201, 'position_km': 2.76}]"
42,4,[]
21,4,"[{'id': 103, 'position_km': 5.06}, {'id': 104, 'position_km': 5.97}, {'id': 202, 'position_km': 5.27}, {'id': 203, 'position_km': 5.82}, {'id': 301, 'position_km': 3.19}]"
23,4,[]
24,4,[]
12,5,"[{'id': 204, 'position_km': 1.2}, {'id': 302, 'position_km': 3.83}, {'id': 303, 'position_km': 5.15}]"
32,5,"[{'id': 101, 'position_km': 1.099}, {'id': 102, 'position_km': 2.96}, {'id': 201, 'position_km': 2.86}]"
42,5,[]
21,5,"[{'id': 103, 'position_km': 5.26}, {'id': 104, 'position_km': 6.17}, {'id': 202, 'position_km': 5.47}, {'id': 203, 'position_km': 6.02}, {'id': 301, 'position_km': 3.39}]"
23,5,[]
24,5,[]
12,6,"[{'id': 204, 'position_km': 1.4}, {'id': 302, 'position_km': 4.03}, {'id': 303, 'position_km': 5.35}]"
32,6,"[{'id': 101, 'position_km': 1.199}, {'id': 102, 'position_km': 3.06}, {'id': 201, 'position_km': 2.96}]"
42,6,[]
21,6,"[{'id': 103, 'position_km': 5.46}, {'id': 104, 'position_km': 6.37}, {'id': 202, 'position_km': 5.67}, {'id': 203, 'position_km': 6.22}, {'id': 301, 'position_km': 3.59}]"
23,6,[]
24,6,[]
12,7,"[{'id': 204, 'position_km': 1.599}, {'id': 302, 'position_km': 4.23}, {'id': 303, 'position_km': 5.55}]"
32,7,"[{'id': 101, 'position_km': 1.299}, {'id': 102, 'position_km': 3.16}, {'id': 201, 'position_km': 3.06}]"
42,7,[]
21,7,"[{'id': 103, 'position_km': 5.66}, {'id': 104, 'position_km': 6.57}, {'id': 202, 'position_km': 5.87}, {'id': 203, 'position_km': 6.42}, {'id': 301, 'position_km': 3.79}]"
23,7,[]
24,7,[]
12,8,"[{'id': 204, 'position_km': 1.799}, {'id': 302, 'position_km': 4.43}, {'id': 303, 'position_km': 5.75}]"
32,8,"[{'id': 101, 'position_km': 1.399}, {'id': 102, 'position_km': 3.26}, {'id': 201, 'position_km': 3.16}]"
42,8,[]
21,8,"[{'id': 103, 'position_km': 5.86}, {'id': 104, 'position_km': 6.77}, {'id': 202, 'position_km': 6.07}, {'id': 203, 'position_km': 6.62}, {'id': 301, 'position_km': 3.99}]"
23,8,[]
24,8,[]
12,9,"[{'id': 204, 'position_km': 1.999}, {'id': 302, 'position_km': 4.63}, {'id': 303, 'position_km': 5.95}]"
32,9,"[{'id': 101, 'position_km': 1.499}, {'id': 102, 'position_km': 3.36}, {'id': 201, 'position_km': 3.26}]"
42,9,[]
21,9,"[{'id': 103, 'position_km': 6.06}, {'id': 104, 'position_km': 6.97}, {'id': 202, 'position_km': 6.27}, {'id': 203, 'position_km': 6.82}, {'id': 301, 'position_km': 4.19}]"
23,9,[]
24,9,[]
12,10,"[{'id': 204, 'position_km': 2.199}, {'id': 302, 'position_km': 4.83}, {'id': 303, 'position_km': 6.15}]"
24,18,[]
32,10,"[{'id': 101, 'position_km': 1.599}, {'id': 102, 'position_km': 3.46}, {'id': 201, 'position_km': 3.36}]"
42,10,[]
21,10,"[{'id': 103, 'position_km': 6.26}, {'id': 104, 'position_km': 7.0}, {'id': 202, 'position_km': 6.47}, {'id': 203, 'position_km': 7.0}, {'id': 301, 'position_km': 4.39}]"
23,10,[]
24,10,[]
12,11,"[{'id': 204, 'position_km': 2.399}, {'id': 302, 'position_km': 5.03}, {'id': 303, 'position_km': 6.35}]"
32,11,"[{'id': 101, 'position_km': 1.699}, {'id': 102, 'position_km': 3.56}, {'id': 201, 'position_km': 3.46}]"
42,11,[]
21,11,"[{'id': 103, 'position_km': 6.46}, {'id': 104, 'position_km': 7.0}, {'id': 202, 'position_km': 6.67}, {'id': 203, 'position_km': 7.0}, {'id': 301, 'position_km': 4.59}]"
23,11,[]
24,11,[]
12,12,"[{'id': 204, 'position_km': 2.599}, {'id': 302, 'position_km': 5.23}, {'id': 303, 'position_km': 6.55}]"
32,12,"[{'id': 101, 'position_km': 1.799}, {'id': 102, 'position_km': 3.66}, {'id': 201, 'position_km': 3.56}]"
42,12,[]
21,12,"[{'id': 103, 'position_km': 6.66}, {'id': 104, 'position_km': 7.0}, {'id': 202, 'position_km': 6.87}, {'id': 203, 'position_km': 7.0}, {'id': 301, 'position_km': 4.79}]"
23,12,[]
24,12,[]
12,13,"[{'id': 204, 'position_km': 2.799}, {'id': 302, 'position_km': 5.43}, {'id': 303, 'position_km': 6.75}]"
32,13,"[{'id': 101, 'position_km': 1.899}, {'id': 102, 'position_km': 3.76}, {'id': 201, 'position_km': 3.66}]"
42,13,[]
21,13,"[{'id': 103, 'position_km': 6.86}, {'id': 104, 'position_km': 7.0}, {'id': 202, 'position_km': 7.0}, {'id': 203, 'position_km': 7.0}, {'id': 301, 'position_km': 4.99}]"
23,13,[]
24,13,[]
12,14,"[{'id': 204, 'position_km': 2.999}, {'id': 302, 'position_km': 5.63}, {'id': 303, 'position_km': 6.95}]"
32,14,"[{'id': 101, 'position_km': 1.999}, {'id': 102, 'position_km': 3.86}, {'id': 201, 'position_km': 3.76}]"
42,14,[]
21,14,"[{'id': 103, 'position_km': 7.0}, {'id': 104, 'position_km': 7.0}, {'id': 202, 'position_km': 7.0}, {'id': 203, 'position_km': 7.0}, {'id': 301, 'position_km': 5.19}]"
23,14,[]
24,14,[]
12,15,"[{'id': 204, 'position_km': 3.199}, {'id': 302, 'position_km': 5.83}, {'id': 303, 'position_km': 7.0}]"
32,15,"[{'id': 101, 'position_km': 2.099}, {'id': 102, 'position_km': 3.96}, {'id': 201, 'position_km': 3.86}]"
42,15,[]
