clock_tick,train_id,station_id,segment_id,stops_seen_so_far,passenger_count
1,101,,32.0,"[1, 2, 3]",0
1,102,,32.0,"[1, 2, 3]",0
1,103,,21.0,"[1, 2, 3, 2]",0
1,104,,21.0,"[1, 2, 3, 2]",0
1,201,,32.0,[3],0
1,202,,21.0,"[3, 2]",0
1,203,,21.0,"[3, 2]",0
1,204,,12.0,"[3, 2, 1]",0
1,301,,21.0,"[4, 2]",0
1,302,,12.0,"[4, 2, 1]",0
1,303,,12.0,"[4, 2, 1]",0
2,204,,12.0,"[3, 2, 1]",0
2,302,,12.0,"[4, 2, 1]",0
2,303,,12.0,"[4, 2, 1]",0
2,101,,32.0,"[1, 2, 3]",0
2,102,,32.0,"[1, 2, 3]",0
2,201,,32.0,[3],0
2,103,,21.0,"[1, 2, 3, 2]",0
2,104,,21.0,"[1, 2, 3, 2]",0
2,202,,21.0,"[3, 2]",0
2,203,,21.0,"[3, 2]",0
2,301,,21.0,"[4, 2]",0
3,204,,12.0,"[3, 2, 1]",0
3,302,,12.0,"[4, 2, 1]",0
3,303,,12.0,"[4, 2, 1]",0
3,101,,32.0,"[1, 2, 3]",0
3,102,,32.0,"[1, 2, 3]",0
3,201,,32.0,[3],0
3,103,,21.0,"[1, 2, 3, 2]",0
3,104,,21.0,"[1, 2, 3, 2]",0
3,202,,21.0,"[3, 2]",0
3,203,,21.0,"[3, 2]",0
3,301,,21.0,"[4, 2]",0
4,204,,12.0,"[3, 2, 1]",0
4,302,,12.0,"[4, 2, 1]",0
4,303,,12.0,"[4, 2, 1]",0
4,101,,32.0,"[1, 2, 3]",0
4,102,,32.0,"[1, 2, 3]",0
4,201,,32.0,[3],0
4,103,,21.0,"[1, 2, 3, 2]",0
4,104,,21.0,"[1, 2, 3, 2]",0
4,202,,21.0,"[3, 2]",0
4,203,,21.0,"[3, 2]",0
4,301,,21.0,"[4, 2]",0
5,204,,12.0,"[3, 2, 1]",0
5,302,,12.0,"[4, 2, 1]",0
5,303,,12.0,"[4, 2, 1]",0
5,101,,32.0,"[1, 2, 3]",0
